Time,APM 1 CPU,APM 1 Memory,APM 2 CPU,APM 2 Memory,APM 3 CPU,APM 3 Memory,APM 4 CPU,APM 4 Memory,APM 5 CPU,APM 5 Memory,APM 6 CPU,APM 6 Memory
559,0.0 , 0.0 ,0.0 , 0.0 ,43.7 , 0.0 ,2.1 , 0.0 ,16.8 , 9.3 ,0.0 , 4.7
565,0.0 , 0.0 ,0.0 , 0.0 ,43.7 , 0.0 ,2.1 , 0.0 ,17.1 , 9.3 ,0.0 , 4.7
570,0.0 , 0.0 ,0.0 , 0.0 ,43.7 , 0.0 ,2.1 , 0.0 ,17.4 , 9.3 ,0.0 , 4.8
576,0.0 , 0.0 ,0.0 , 0.0 ,43.8 , 0.0 ,2.1 , 0.0 ,17.7 , 0.0 ,0.0 , 4.8
581,0.0 , 0.0 ,0.0 , 0.0 ,44.2 , 0.0 ,2.1 , 0.0 ,17.5 , 0.0 ,0.0 , 5.0
587,0.0 , 0.0 ,0.0 , 0.0 ,44.7 , 0.0 ,2.1 , 0.0 ,17.3 , 0.0 ,0.0 , 5.0
592,0.0 , 0.0 ,0.0 , 0.0 ,45.2 , 0.0 ,2.1 , 0.0 ,17.1 , 0.0 ,0.0 , 5.2
598,0.0 , 0.0 ,0.0 , 0.0 ,45.5 , 0.0 ,2.1 , 0.0 ,17.0 , 0.0 ,0.0 , 5.2
603,0.0 , 0.0 ,0.0 , 0.0 ,45.2 , 0.0 ,2.1 , 0.0 ,16.9 , 0.0 ,0.0 , 5.2
608,0.0 , 0.0 ,0.0 , 0.0 ,44.8 , 0.0 ,2.1 , 0.0 ,16.7 , 0.0 ,0.0 , 5.2
613,0.0 , 0.0 ,0.0 , 0.0 ,44.4 , 0.0 ,2.1 , 0.0 ,16.6 , 0.0 ,0.0 , 5.2
618,0.0 , 0.0 ,0.0 , 0.0 ,44.1 , 0.0 ,2.1 , 0.0 ,16.5 , 0.0 ,0.0 , 5.3
623,0.0 , 0.0 ,0.0 , 0.0 ,43.7 , 0.0 ,2.1 , 0.0 ,16.3 , 0.0 ,0.0 , 5.3
628,0.0 , 0.0 ,0.0 , 0.0 ,43.3 , 0.0 ,2.1 , 0.0 ,16.2 , 0.0 ,0.0 , 5.3
634,0.0 , 0.0 ,0.0 , 0.0 ,43.7 , 0.0 ,2.1 , 0.0 ,16.0 , 0.0 ,0.0 , 5.3
639,0.0 , 0.0 ,0.0 , 0.0 ,44.1 , 0.0 ,2.1 , 0.0 ,16.0 , 7.1 ,0.0 , 5.3
645,0.0 , 0.0 ,0.0 , 0.0 ,44.0 , 0.0 ,2.1 , 0.0 ,16.3 , 7.1 ,0.0 , 5.4
